"","row","column","cor","p","fdr"
"230","Alistipes finegoldii","Alistipes onderdonkii",0.721441610607,0,0
"231","Alistipes megaguti","Alistipes onderdonkii",0.328429302947,0.022,0.0785049751243781
"232","Bifidobacterium adolescentis","Alistipes shahii",-0.271869339266,0.069,0.180087332272004
"233","Bifidobacterium angulatum","Alistipes shahii",-0.152729044286,0.288,0.47789010989011
"234","Bifidobacterium breve","Alistipes shahii",-0.34284280065,0.023,0.0807921640648913
"235","Bifidobacterium catenulatum","Alistipes shahii",-0.220961389197,0.127,0.276189501610764
"236","Bifidobacterium longum","Alistipes shahii",-0.212782234228,0.165,0.328853768669677
"237","Bifidobacterium pseudocatenulatum","Alistipes shahii",-0.310374842329,0.035,0.110741659773918
"238","Atopobium parvulum","Alistipes shahii",-0.46156246729,0.001,0.00715907673112913
"239","Bacteroides caccae","Alistipes shahii",0.558343726075,0,0
"240","Bacteroides cellulosilyticus","Alistipes shahii",0.511625292474,0.001,0.00715907673112913
"241","Bacteroides fragilis","Alistipes shahii",0.645011520644,0,0
"242","Bacteroides thetaiotaomicron","Alistipes shahii",0.457683160284,0.001,0.00715907673112913
"243","Butyricimonas faecalis","Alistipes shahii",0.663202954761,0,0
"244","Odoribacter splanchnicus","Alistipes shahii",0.694540352363,0,0
"245","Porphyromonas asaccharolytica","Alistipes shahii",0.456096962451,0.001,0.00715907673112913
"246","Porphyromonas crevioricanis","Alistipes shahii",0.591262188891,0,0
"247","Porphyromonas gingivalis","Alistipes shahii",0.606439646499,0,0
"248","Prevotella intermedia","Alistipes shahii",0.441730236692,0,0
"249","Prevotella scopos","Alistipes shahii",0.227102336474,0.114,0.25667333725721
"250","Alistipes dispar","Alistipes shahii",0.756121224909,0,0
"251","Alistipes finegoldii","Alistipes shahii",0.625437714008,0,0
"252","Alistipes megaguti","Alistipes shahii",0.613163025162,0,0
"253","Alistipes onderdonkii","Alistipes shahii",0.638134142827,0,0
"254","Bifidobacterium adolescentis","Parabacteroides distasonis",-0.29764877307,0.047,0.136446243359474
"255","Bifidobacterium angulatum","Parabacteroides distasonis",-0.256362356652,0.069,0.180087332272004
"256","Bifidobacterium breve","Parabacteroides distasonis",-0.305745814976,0.044,0.130341765616933
"257","Bifidobacterium catenulatum","Parabacteroides distasonis",-0.324249661276,0.037,0.114915290933694
"258","Bifidobacterium longum","Parabacteroides distasonis",-0.223080768438,0.133,0.285024836601307
"259","Bifidobacterium pseudocatenulatum","Parabacteroides distasonis",-0.408129415299,0.003,0.0175295315682281
"260","Atopobium parvulum","Parabacteroides distasonis",-0.175849360069,0.252,0.438706310679612
"261","Bacteroides caccae","Parabacteroides distasonis",0.418534995717,0.005,0.0261650706794346
"262","Bacteroides cellulosilyticus","Parabacteroides distasonis",0.584474866766,0,0
"263","Bacteroides fragilis","Parabacteroides distasonis",0.697742568647,0,0
"264","Bacteroides thetaiotaomicron","Parabacteroides distasonis",0.637537341818,0,0
"265","Butyricimonas faecalis","Parabacteroides distasonis",0.630954160571,0,0
"266","Odoribacter splanchnicus","Parabacteroides distasonis",0.620540367845,0,0
"267","Porphyromonas asaccharolytica","Parabacteroides distasonis",0.233511331921,0.105,0.242012452299659
"268","Porphyromonas crevioricanis","Parabacteroides distasonis",0.369837481744,0.011,0.0470503168095416
"269","Porphyromonas gingivalis","Parabacteroides distasonis",0.420391455092,0.004,0.0217967711301045
"270","Prevotella intermedia","Parabacteroides distasonis",0.234401980931,0.112,0.253463222244133
"271","Prevotella scopos","Parabacteroides distasonis",0.185522564241,0.232,0.415615360599438
"272","Alistipes dispar","Parabacteroides distasonis",0.632600387595,0,0
"273","Alistipes finegoldii","Parabacteroides distasonis",0.661528169512,0,0
"274","Alistipes megaguti","Parabacteroides distasonis",0.451189519941,0,0
"275","Alistipes onderdonkii","Parabacteroides distasonis",0.427777933784,0,0
"276","Alistipes shahii","Parabacteroides distasonis",0.562681091943,0,0
"277","Bifidobacterium adolescentis","Parabacteroides sp. CT06",-0.375173783589,0.012,0.0502231947483589
"278","Bifidobacterium angulatum","Parabacteroides sp. CT06",-0.294823833278,0.036,0.113002188183807
"279","Bifidobacterium breve","Parabacteroides sp. CT06",-0.303462114927,0.039,0.119223228556207
"280","Bifidobacterium catenulatum","Parabacteroides sp. CT06",-0.435016269524,0,0
"281","Bifidobacterium longum","Parabacteroides sp. CT06",-0.169455306841,0.27,0.458089887640449
"282","Bifidobacterium pseudocatenulatum","Parabacteroides sp. CT06",-0.444378114643,0.001,0.00715907673112913
"283","Atopobium parvulum","Parabacteroides sp. CT06",-0.136152413478,0.374,0.568028586553732
"284","Bacteroides caccae","Parabacteroides sp. CT06",0.333793811356,0.021,0.0758325991189427
"285","Bacteroides cellulosilyticus","Parabacteroides sp. CT06",0.630400428436,0,0
"286","Bacteroides fragilis","Parabacteroides sp. CT06",0.772248735746,0,0
"287","Bacteroides thetaiotaomicron","Parabacteroides sp. CT06",0.654869037754,0,0
"288","Butyricimonas faecalis","Parabacteroides sp. CT06",0.578452297287,0,0
"289","Odoribacter splanchnicus","Parabacteroides sp. CT06",0.59195705421,0,0
"290","Porphyromonas asaccharolytica","Parabacteroides sp. CT06",0.278802262673,0.043,0.128140223318619
"291","Porphyromonas crevioricanis","Parabacteroides sp. CT06",0.46273154946,0.001,0.00715907673112913
"292","Porphyromonas gingivalis","Parabacteroides sp. CT06",0.532777119876,0,0
"293","Prevotella intermedia","Parabacteroides sp. CT06",0.430329382308,0.002,0.0127157894736842
"294","Prevotella scopos","Parabacteroides sp. CT06",0.33234660688,0.02,0.0733056531459598
"295","Alistipes dispar","Parabacteroides sp. CT06",0.602229177221,0,0
"296","Alistipes finegoldii","Parabacteroides sp. CT06",0.664336598876,0,0
